
"数据来源：巨量算数，引用请注明出处"
"时间范围：2020/12/01-2024/05/08"
"数据类型：关键词搜索指数"
"端：抖音、头条"
"地域：全国"
"关键词：疯狂星期四"

"日期","端","关键词搜索指数"
"2020/12/01","抖音","0"
"2020/12/02","抖音","0"
"2020/12/03","抖音","0"
"2020/12/04","抖音","0"
"2020/12/05","抖音","0"
"2020/12/06","抖音","0"
"2020/12/07","抖音","0"
"2020/12/08","抖音","0"
"2020/12/09","抖音","0"
"2020/12/10","抖音","0"
"2020/12/11","抖音","0"
"2020/12/12","抖音","0"
"2020/12/13","抖音","0"
"2020/12/14","抖音","0"
"2020/12/15","抖音","0"
"2020/12/16","抖音","0"
"2020/12/17","抖音","0"
"2020/12/18","抖音","0"
"2020/12/19","抖音","0"
"2020/12/20","抖音","0"
"2020/12/21","抖音","0"
"2020/12/22","抖音","0"
"2020/12/23","抖音","0"
"2020/12/24","抖音","0"
"2020/12/25","抖音","0"
"2020/12/26","抖音","0"
"2020/12/27","抖音","0"
"2020/12/28","抖音","0"
"2020/12/29","抖音","0"
"2020/12/30","抖音","0"
"2020/12/31","抖音","0"
"2021/01/01","抖音","12"
"2021/01/02","抖音","13"
"2021/01/03","抖音","10"
"2021/01/04","抖音","7"
"2021/01/05","抖音","13"
"2021/01/06","抖音","37"
"2021/01/07","抖音","113"
"2021/01/08","抖音","8"
"2021/01/09","抖音","11"
"2021/01/10","抖音","26"
"2021/01/11","抖音","7"
"2021/01/12","抖音","22"
"2021/01/13","抖音","52"
"2021/01/14","抖音","111"
"2021/01/15","抖音","17"
"2021/01/16","抖音","13"
"2021/01/17","抖音","5"
"2021/01/18","抖音","15"
"2021/01/19","抖音","33"
"2021/01/20","抖音","35"
"2021/01/21","抖音","73"
"2021/01/22","抖音","22"
"2021/01/23","抖音","11"
"2021/01/24","抖音","18"
"2021/01/25","抖音","17"
"2021/01/26","抖音","27"
"2021/01/27","抖音","85"
"2021/01/28","抖音","137"
"2021/01/29","抖音","20"
"2021/01/30","抖音","8"
"2021/01/31","抖音","14"
"2021/02/01","抖音","15"
"2021/02/02","抖音","45"
"2021/02/03","抖音","77"
"2021/02/04","抖音","217"
"2021/02/05","抖音","22"
"2021/02/06","抖音","6"
"2021/02/07","抖音","9"
"2021/02/08","抖音","14"
"2021/02/09","抖音","23"
"2021/02/10","抖音","39"
"2021/02/11","抖音","70"
"2021/02/12","抖音","18"
"2021/02/13","抖音","9"
"2021/02/14","抖音","6"
"2021/02/15","抖音","13"
"2021/02/16","抖音","16"
"2021/02/17","抖音","63"
"2021/02/18","抖音","231"
"2021/02/19","抖音","21"
"2021/02/20","抖音","7"
"2021/02/21","抖音","7"
"2021/02/22","抖音","7"
"2021/02/23","抖音","11"
"2021/02/24","抖音","81"
"2021/02/25","抖音","496"
"2021/02/26","抖音","37"
"2021/02/27","抖音","22"
"2021/02/28","抖音","46"
"2021/03/01","抖音","67"
"2021/03/02","抖音","60"
"2021/03/03","抖音","108"
"2021/03/04","抖音","212"
"2021/03/05","抖音","25"
"2021/03/06","抖音","18"
"2021/03/07","抖音","16"
"2021/03/08","抖音","20"
"2021/03/09","抖音","27"
"2021/03/10","抖音","64"
"2021/03/11","抖音","304"
"2021/03/12","抖音","18"
"2021/03/13","抖音","17"
"2021/03/14","抖音","17"
"2021/03/15","抖音","27"
"2021/03/16","抖音","27"
"2021/03/17","抖音","77"
"2021/03/18","抖音","307"
"2021/03/19","抖音","28"
"2021/03/20","抖音","19"
"2021/03/21","抖音","13"
"2021/03/22","抖音","40"
"2021/03/23","抖音","27"
"2021/03/24","抖音","79"
"2021/03/25","抖音","213"
"2021/03/26","抖音","20"
"2021/03/27","抖音","16"
"2021/03/28","抖音","17"
"2021/03/29","抖音","20"
"2021/03/30","抖音","13"
"2021/03/31","抖音","66"
"2021/04/01","抖音","343"
"2021/04/02","抖音","35"
"2021/04/03","抖音","6"
"2021/04/04","抖音","15"
"2021/04/05","抖音","36"
"2021/04/06","抖音","48"
"2021/04/07","抖音","51"
"2021/04/08","抖音","167"
"2021/04/09","抖音","20"
"2021/04/10","抖音","14"
"2021/04/11","抖音","10"
"2021/04/12","抖音","30"
"2021/04/13","抖音","30"
"2021/04/14","抖音","74"
"2021/04/15","抖音","155"
"2021/04/16","抖音","14"
"2021/04/17","抖音","21"
"2021/04/18","抖音","21"
"2021/04/19","抖音","24"
"2021/04/20","抖音","26"
"2021/04/21","抖音","58"
"2021/04/22","抖音","153"
"2021/04/23","抖音","12"
"2021/04/24","抖音","5"
"2021/04/25","抖音","8"
"2021/04/26","抖音","13"
"2021/04/27","抖音","12"
"2021/04/28","抖音","59"
"2021/04/29","抖音","208"
"2021/04/30","抖音","21"
"2021/05/01","抖音","19"
